"","unknown_id","id","used_name","full_name","gender","height_in_cm","weight_in_kg","birth_date","birth_date_Olympedia","age","age_Olympedia","death_date","birth_country","birth_country_Olympedia","birth_country_full","birth_country_full_Olympedia","birth_country_full (2024 imported too)","birth_region_2024","birth_region_Olympedia","birth_city_Olympedia","latitude","longitude","year","sport","team","gapminder_countryname","event","medal","place","tied","season","event_unmodified","GDP per capita, PPP (constant 2021 international $)","GDP total, PPP (constant 2021 international $)","GDP per capita growth (%)","Population","Gini","Roles","Born","Died","NOC","Affiliations","Nick/petnames","Title(s)","Other names","Nationality","Original name","Name order"
"1","248960","116743","José la Rocca, Jr.","José María la Rocca, Jr.","Male","187","83","1 January 1969","1 January 1969","51","51",NA,"SUI","SUI","Switzerland",NA,NA,NA,"Aargau","Wettingen",NA,NA,"2020","Equestrian Jumping","ARG","Argentina","Individual, Open",NA,"44","1","Summer Olympics","Individual, Open","23785.78438056429","1074926335224","0.892297267722506","45191965","42.4","Competed in Olympic Games","1 January 1969 in Wettingen, Aargau (SUI)",NA,"Argentina","Club Hípico Argentino, Buenos Aires (ARG)","Pepino",NA,NA,NA,NA,NA
"2","248961","116743","José la Rocca, Jr.","José María la Rocca, Jr.","Male","187","83","1 January 1969","1 January 1969","51","51",NA,"SUI","SUI","Switzerland",NA,NA,NA,"Aargau","Wettingen",NA,NA,"2020","Equestrian Jumping","ARG","Argentina","Team, Open",NA,NA,"0","Summer Olympics","Team, Open","23785.78438056429","1074926335224","0.892297267722506","45191965","42.4","Competed in Olympic Games","1 January 1969 in Wettingen, Aargau (SUI)",NA,"Argentina","Club Hípico Argentino, Buenos Aires (ARG)","Pepino",NA,NA,NA,NA,NA
"3","239593","111738","Yusuf Dikeç","Yusuf Dikeç","Male","180","80","1 January 1973","1 January 1973","47","47",NA,"TUR","TUR","Turkey","Turkey",NA,NA,"Kahramanmaraş","Göksun",NA,NA,"2020","Shooting","TUR","Turkey","Air Pistol, 10 metres, Men",NA,"24","0","Summer Olympics","Air Pistol, 10 metres, Men","28649.55520288651","2466488682463.9","1.00876186370101","86091692","41.9","Competed in Olympic Games","1 January 1973 in Göksun, Kahramanmaraş (TUR)",NA,"Türkiye","Jandarma Gücü, Ankara (TUR)",NA,NA,NA,NA,NA,NA
"4","188638","89097","Abdi Abdirahman","Abdihakim ""Abdi"" Abdirahman","Male","178","61","1 January 1977","1 January 1977","43","43",NA,"SOM","SOM","Somalia","Somalia",NA,NA,"Banaadir","Mogadishu",NA,NA,"2020","Athletics","USA","United States","Marathon, Men",NA,"40","0","Summer Olympics","Marathon, Men","67266.18787410806","22832576442559.6","0.968435557480329","339436159","41.5","Competed in Olympic Games","1 January 1977 in Mogadishu, Banaadir (SOM)",NA,"United States","Nike, Beaverton (USA)","The Black Cactus",NA,NA,NA,NA,NA
"5","246310","115453","Yohann Diniz","Yohann Diniz","Male","185","66","1 January 1978","1 January 1978","42","42",NA,"FRA","FRA","France","France",NA,NA,"Marne","Épernay",NA,NA,"2020","Athletics","FRA","France","50 kilometres Race Walk, Men",NA,NA,"0","Summer Olympics","50 kilometres Walk, Men","50724.49437338889","3343011852363.13","0.922089914912506","65905277","32.7","Competed in Olympic Games","1 January 1978 in Épernay, Marne (FRA)",NA,"France","EFS Reims, Reims (FRA)",NA,NA,NA,NA,NA,NA
"6","296377","146043","Humberto Gomes","Humberto Jorge Simões Dias Ramos Gomes","Male","193","104","1 January 1978","1 January 1978","42","42",NA,"POR","POR","Portugal","Portugal",NA,NA,"Distrito de Braga","Braga",NA,NA,"2020","Handball","POR","Portugal","Handball, Men",NA,"9","0","Summer Olympics","Handball, Men","36909.24191841077","382767994590.475","0.916031449904684","10370519","35.5","Competed in Olympic Games","1 January 1978 in Braga, Distrito de Braga (POR)",NA,"Portugal","Póvoa Andebol, Póvoa de Varzim (POR)",NA,NA,NA,NA,NA,NA
"7","279852","132814","Márcio Appel","Márcio Appel Cheuiche","Male","172","73","1 January 1979","1 January 1979","41","41",NA,"BRA","BRA","Brazil","Brazil",NA,NA,"São Paulo","Campos do Jordão",NA,NA,"2020","Equestrian Eventing","BRA","Brazil","Team, Open",NA,"12","0","Summer Olympics","Team, Open","16958.8963475485","3538657591270.19","0.960819958284597","208660842","51.3","Competed in Olympic Games","1 January 1979 in Campos do Jordão, São Paulo (BRA)",NA,"Brazil","Clube Hípico de Santo Amaro, Santo Amaro (BRA)",NA,NA,NA,NA,NA,NA
"8","296735","146300","Anca Stoenescu","Ancuţa Violeta ""Anca"" Stoenescu","Female","174",NA,"1 January 1980","1 January 1980","40","40",NA,"ROU","ROU","Romania","Romania",NA,NA,"Timiș","Timișoara",NA,NA,"2020","3x3 Basketball","ROU","Romania","3x3 Basketball, Women",NA,"7","0","Summer Olympics","3x3 Basketball, Women","35651.6301826816","691373133117.117","0.968544584387084","19392469","28.3","Competed in Olympic Games","1 January 1980 in Timișoara, Timiș (ROU)",NA,"Romania",NA,NA,NA,NA,NA,NA,NA
"9","236515","110168","Mark Nichols","Mark Nichols","Male","177","81","1 January 1980","1 January 1980","42","42",NA,"CAN","CAN","Canada","Canada",NA,NA,"Newfoundland and Labrador","Labrador City",NA,NA,"2022","Curling","CAN","Canada","Curling, Men","Bronze","3","0","Winter Olympics","Curling, Men","56872.60534823525","2207866142228.62","1.01955670658956","38821259","31.1","Competed in Olympic Games","1 January 1980 in Labrador City, Newfoundland and Labrador (CAN)",NA,"Canada","St. John's Curling Club, St. John's (CAN)",NA,NA,NA,NA,NA,NA
"10","294843","144697","Kojiro Horimizu","Kojiro Horimizu","Male",NA,NA,"1 January 1982","1 January 1982","38","38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020","Shooting","JPN","Japan","Air Pistol, 10 metres, Men",NA,"16","0","Summer Olympics","Air Pistol, 10 metres, Men","43238.29661981291","5461193294663.91","0.961352903303674","126304543","32.1","Competed in Olympic Games","1 January 1982",NA,"Japan","Kagawa Prefectural Police (JPN)",NA,NA,NA,NA,"堀水•宏次郎",NA
